phi : 18.919636  x : 7.560000  y : 0.000000  deg : 179.999999
phi : 20.429562  x : 7.838078  y : 0.005026  deg : 143.972135
phi : 75.547544  x : 7.881103  y : 0.004958  deg : 140.112055
phi : 83.468733  x : 7.864236  y : 0.008011  deg : 142.122966
phi : 83.234082  x : 7.873141  y : 0.005981  deg : 145.050859
phi : 82.966601  x : 7.891077  y : 0.004105  deg : 146.841607
phi : 80.307889  x : 7.905054  y : 0.003188  deg : 147.076737
phi : 65.478467  x : 7.934043  y : 0.002385  deg : 132.679414
phi : 15.986523  x : 0.491097  y : 0.038123  deg : 1.209109
phi : -14.488829  x : 0.484053  y : 0.028185  deg : 0.035140
phi : 78.831695  x : 0.486034  y : 0.022515  deg : 0.078319
phi : 82.198375  x : 0.488046  y : 0.026288  deg : 0.549495
phi : 82.695735  x : 0.469031  y : 0.021534  deg : -0.163829
phi : 83.402063  x : 0.477034  y : 0.022678  deg : -0.172716
phi : 81.148227  x : 0.486026  y : 0.019757  deg : -0.150648
phi : 83.639451  x : 0.490024  y : 0.018895  deg : -0.144157
phi : 83.017911  x : 0.490035  y : 0.023018  deg : -0.175611
phi : 84.049362  x : 7.952014  y : 0.001160  deg : 145.115044
phi : 84.039660  x : 0.510039  y : 0.024246  deg : -0.185473
phi : 84.095555  x : 0.508035  y : 0.023063  deg : -0.176374
phi : 84.461746  x : 0.503029  y : 0.020867  deg : -0.159477
phi : 84.465299  x : 0.509032  y : 0.021818  deg : -0.166876
phi : 25.117775  x : 0.506033  y : 0.022402  deg : 0.078727
phi : 27.197962  x : 0.508034  y : 0.022666  deg : 0.076659
phi : 22.082453  x : 0.509027  y : 0.019934  deg : -0.152466
phi : 13.166379  x : 0.503027  y : 0.020026  deg : -0.153048
phi : 19.661918  x : 0.503028  y : 0.020553  deg : -0.157078
phi : 12.809656  x : 0.504035  y : 0.022972  deg : -0.175590
phi : 13.166379  x : 0.515031  y : 0.021538  deg : -0.164867
phi : 13.125945  x : 0.496030  y : 0.021321  deg : -0.162797
phi : 6.403617  x : 0.509030  y : 0.021080  deg : -0.161232
phi : 17.926284  x : 0.514030  y : 0.021042  deg : -0.161049
phi : 20.984405  x : 0.508028  y : 0.020543  deg : -0.157102
phi : -0.724805  x : 0.514032  y : 0.022001  deg : -0.168389
phi : -0.724805  x : 0.503029  y : 0.020973  deg : -0.160288
phi : 11.627327  x : 0.503030  y : 0.021056  deg : -0.160920
phi : 21.098427  x : 0.498032  y : 0.022001  deg : -0.168031
phi : 4.557543  x : 0.501033  y : 0.022131  deg : -0.169090
phi : 29.189198  x : 0.510030  y : 0.021173  deg : -0.161963
phi : 2.869814  x : 0.509034  y : 0.022706  deg : -0.173669
phi : -2.500000  x : 0.501035  y : 0.022975  deg : -0.175539
phi : 20.703851  x : 0.510030  y : 0.021140  deg : -0.161714
phi : 7.992611  x : 0.505031  y : 0.021498  deg : -0.164344
phi : 8.020337  x : 0.513031  y : 0.021660  deg : -0.165761
phi : 8.020337  x : 0.495035  y : 0.022868  deg : -0.174583
phi : 1.051782  x : 0.500040  y : 0.024543  deg : -0.187499
phi : 14.697837  x : 0.512031  y : 0.021468  deg : -0.164269
phi : 20.815309  x : 0.507031  y : 0.021615  deg : -0.165278
phi : 8.048208  x : 0.512035  y : 0.023050  deg : -0.176374
phi : 9.613451  x : 0.523028  y : 0.020631  deg : -0.158091
phi : 6.262067  x : 0.512032  y : 0.021841  deg : -0.167117
phi : 10.003106  x : 0.506031  y : 0.021407  deg : -0.163668
phi : -0.734356  x : 0.516027  y : 0.020238  deg : -0.154941
phi : 22.916219  x : 0.507030  y : 0.021350  deg : -0.163257
phi : 13.166379  x : 0.494035  y : 0.022918  deg : -0.174938
phi : 6.215870  x : 0.513027  y : 0.020240  deg : -0.154890
phi : -0.710283  x : 0.510024  y : 0.018995  deg : -0.145305
phi : 14.964210  x : 0.509023  y : 0.018507  deg : -0.141554
phi : -0.690548  x : 0.490033  y : 0.022168  deg : -0.169128
phi : 19.284763  x : 0.501033  y : 0.022195  deg : -0.169577
phi : 18.131369  x : 0.508028  y : 0.020522  deg : -0.156941
phi : 16.468497  x : 0.509031  y : 0.021658  deg : -0.165657
phi : 22.612447  x : 0.503021  y : 0.017650  deg : -0.134891
phi : 9.645006  x : 0.515032  y : 0.021718  deg : -0.166244
phi : -13.247472  x : 0.498030  y : 0.021097  deg : -0.161127
